name,year,duration,genre,movie_url
Barry Lyndon,1975,3h 5min,"Adventure,Drama,History",https://www.imdb.com/title/tt0072684/
Network,1976,2h 1min,Drama,https://www.imdb.com/title/tt0074958/
Rocky,1976,2h,"Drama,Sport",https://www.imdb.com/title/tt0075148/
Life of Brian,1979,1h 34min,Comedy,https://www.imdb.com/title/tt0079470/
Stalker,1979,2h 42min,"Drama,Sci-Fi",https://www.imdb.com/title/tt0079944/
The Elephant Man,1980,2h 4min,"Biography,Drama",https://www.imdb.com/title/tt0080678/
Blade Runner,1982,1h 57min,"Action,Sci-Fi,Thriller",https://www.imdb.com/title/tt0083658/
The Deer Hunter,1978,3h 3min,"Drama,War",https://www.imdb.com/title/tt0077416/
Stand by Me,1986,1h 29min,"Adventure,Drama",https://www.imdb.com/title/tt0092005/
Fanny och Alexander,1982,3h 8min,Drama,https://www.imdb.com/title/tt0083922/
Platoon,1986,2h,"Drama,War",https://www.imdb.com/title/tt0091763/
Nausicaa of the Valley of the Wind,1984,1h 57min,"Animation,Adventure,Fantasy",https://www.imdb.com/title/tt0087544/
"Paris, Texas",1984,2h 25min,Drama,https://www.imdb.com/title/tt0087884/
The Thing,1982,1h 49min,"Horror,Mystery,Sci-Fi",https://www.imdb.com/title/tt0084787/
The Princess Bride,1987,1h 38min,"Adventure,Family,Fantasy",https://www.imdb.com/title/tt0093779/
Dead Poets Society,1989,2h 8min,"Comedy,Drama",https://www.imdb.com/title/tt0097165/
In the Name of the Father,1993,2h 13min,"Biography,Crime,Drama",https://www.imdb.com/title/tt0107207/
La Haine,1995,1h 38min,"Crime,Drama",https://www.imdb.com/title/tt0113247/
Fargo,1996,1h 38min,"Crime,Drama,Thriller",https://www.imdb.com/title/tt0116282/
Before Sunrise,1995,1h 41min,"Drama,Romance",https://www.imdb.com/title/tt0112471/
Trois Couleurs: Rouge,1994,1h 39min,"Drama,Mystery,Romance",https://www.imdb.com/title/tt0111495/
Jurassic Park,1993,2h 7min,"Action,Adventure,Sci-Fi",https://www.imdb.com/title/tt0107290/
Fa Yeung Nin Wah,2000,1h 38min,"Drama,Romance",https://www.imdb.com/title/tt0118694/
Trainspotting,1996,1h 33min,Drama,https://www.imdb.com/title/tt0117951/
The Big Lebowski,1998,1h 57min,"Comedy,Crime,Sport",https://www.imdb.com/title/tt0118715/
The Sixth Sense,1999,1h 47min,"Drama,Mystery,Thriller",https://www.imdb.com/title/tt0167404/
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,1h 27min,"Animation,Action,Drama",https://www.imdb.com/title/tt0169858/
"Monsters, Inc.",2001,1h 32min,"Animation,Adventure,Comedy",https://www.imdb.com/title/tt0198781/
Amores Perros,2000,2h 34min,"Drama,Thriller",https://www.imdb.com/title/tt0245712/
The Truman Show,1998,1h 43min,"Comedy,Drama",https://www.imdb.com/title/tt0120382/
